Date,Time,Open,High,Low,Close,Volume,<VOL>,<SPREAD>
2024-09-19,00:00:00,5718,5727.75,5718,5723.25,1616,2474,0
2024-09-19,00:01:00,5723.5,5725.75,5721.5,5723,553,777,25
2024-09-19,00:02:00,5723,5729.75,5722.5,5724.75,1560,2361,25
2024-09-19,00:03:00,5725,5726.25,5722.25,5723,602,868,25
2024-09-19,00:04:00,5723.5,5725,5721,5721.75,451,641,25
2024-09-19,00:05:00,5721.75,5723,5720,5720.5,403,525,25
2024-09-19,00:06:00,5720.25,5720.25,5717.5,5718.25,499,667,25
2024-09-19,00:07:00,5718.25,5719,5716.25,5718.25,300,406,25
2024-09-19,00:08:00,5718.25,5718.5,5715.25,5717,347,503,0
2024-09-19,00:09:00,5717,5718,5716.25,5717.25,250,337,25
2024-09-19,00:10:00,5717.25,5720.75,5717,5718,369,478,25
2024-09-19,00:11:00,5718,5718.25,5716.5,5717.5,165,217,0
2024-09-19,00:12:00,5717.5,5718.75,5716.75,5718,176,246,25
2024-09-19,00:13:00,5718,5718.75,5715.25,5716.75,239,310,25
2024-09-19,00:14:00,5716.5,5718.25,5716.25,5717.25,117,168,0
2024-09-19,00:15:00,5717.25,5717.5,5715,5716,333,452,25
2024-09-19,00:16:00,5716.25,5716.75,5713.25,5714.25,265,339,25
2024-09-19,00:17:00,5714.25,5715.75,5713.5,5715.5,151,203,25
2024-09-19,00:18:00,5715.25,5717.5,5714.5,5717.5,218,272,25
2024-09-19,00:19:00,5717.5,5718.5,5715.5,5716,253,319,25
2024-09-19,00:20:00,5716,5716.75,5713.75,5715.25,209,293,25
2024-09-19,00:21:00,5715,5717.25,5715,5716.75,128,182,25
2024-09-19,00:22:00,5716.75,5718.75,5716.75,5717.75,220,285,25
2024-09-19,00:23:00,5717.75,5718.5,5716.5,5717.25,136,181,25
2024-09-19,00:24:00,5717,5717.25,5715,5715.5,190,261,25
2024-09-19,00:25:00,5715.75,5718.5,5715.25,5718.5,167,210,25
2024-09-19,00:26:00,5718.25,5720.25,5717.5,5719.5,245,348,25
2024-09-19,00:27:00,5719.5,5721.5,5719,5719,271,341,25
2024-09-19,00:28:00,5718.75,5718.75,5716.25,5717,221,296,25
2024-09-19,00:29:00,5716.75,5717,5715.75,5716,175,240,0
2024-09-19,00:30:00,5715.75,5716,5713.75,5714.75,262,326,25
2024-09-19,00:31:00,5714.5,5714.75,5712,5713.25,381,485,25
2024-09-19,00:32:00,5713.25,5714.25,5713,5714,195,256,25
2024-09-19,00:33:00,5714,5714.25,5712.25,5713.25,97,123,25
2024-09-19,00:34:00,5713.25,5713.5,5713.25,5713.25,46,54,25
2024-09-19,00:35:00,5713,5713.25,5712,5712.75,147,176,25
