Date,Time,Open,High,Low,Close,Volume,<VOL>,<SPREAD>
2024-11-08,00:00:00,21226.75,21230.0,21226.25,21228.5,407,447,25
2024-11-08,00:01:00,21228.25,21233.75,21226.75,21229.75,472,503,25
2024-11-08,00:02:00,21229.75,21233.0,21229.75,21231.75,157,167,25
2024-11-08,00:03:00,21231.5,21238.25,21231.0,21233.25,381,450,25
2024-11-08,00:04:00,21233.75,21235.5,21231.75,21235.0,183,210,25
2024-11-08,00:05:00,21234.25,21235.0,21228.0,21228.5,320,354,25
2024-11-08,00:06:00,21228.5,21230.75,21227.75,21229.75,185,191,25
2024-11-08,00:07:00,21230.0,21230.5,21227.25,21227.5,110,129,25
2024-11-08,00:08:00,21227.5,21230.75,21227.0,21229.25,141,149,25
2024-11-08,00:09:00,21229.75,21231.0,21228.5,21229.0,91,92,25
2024-11-08,00:10:00,21229.5,21230.25,21228.0,21229.0,87,102,25
2024-11-08,00:11:00,21229.5,21229.5,21226.75,21228.25,77,92,25
2024-11-08,00:12:00,21228.5,21229.25,21227.25,21227.25,53,57,25
2024-11-08,00:13:00,21227.75,21229.0,21227.5,21228.0,59,69,25
2024-11-08,00:14:00,21228.5,21229.75,21227.25,21229.75,71,86,25
2024-11-08,00:15:00,21229.0,21233.0,21228.5,21233.0,186,203,25
2024-11-08,00:16:00,21233.0,21234.0,21231.25,21232.75,134,145,25
2024-11-08,00:17:00,21232.5,21235.5,21232.0,21234.75,123,137,25
2024-11-08,00:18:00,21234.75,21236.5,21234.25,21236.0,146,170,0
2024-11-08,00:19:00,21236.0,21236.0,21231.0,21232.75,146,174,25
2024-11-08,00:20:00,21233.0,21234.25,21231.75,21234.25,95,103,25
2024-11-08,00:21:00,21233.75,21235.0,21229.25,21230.0,148,171,25
2024-11-08,00:22:00,21230.25,21230.25,21225.0,21226.0,411,453,25
2024-11-08,00:23:00,21226.0,21229.5,21225.0,21228.0,131,148,25
2024-11-08,00:24:00,21228.5,21228.75,21225.25,21226.25,163,203,25
2024-11-08,00:25:00,21226.25,21228.0,21225.0,21227.25,123,134,25
2024-11-08,00:26:00,21227.25,21229.5,21226.5,21227.0,105,113,25
